hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID,date_str,arrival_date,total_stay,lead_time_bracket,adr_category,total_nights,estimated_revenue
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,133,2018,July,29,12,0,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient-Party,137.7,0,2,Check-Out,2018-07-15,43200,2018-July-12,2018-07-12,3,91-180 Hari,Premium Price,3,413.09999999999997
"Turtle Beach, Barbados Barbados",1,113,2018,February,9,25,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,44,Transient,75.0,0,0,Canceled,2017-12-18,43201,2018-February-25,2018-02-25,3,91-180 Hari,Medium Price,3,225.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,179,2018,August,35,23,2,5,2,1.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,0,Transient,177.5,0,1,Check-Out,2018-08-30,43202,2018-August-23,2018-08-23,7,91-180 Hari,Premium Price,7,1242.5
"Indianapolis Airport Courtyard Indianapolis, IN",0,36,2017,August,32,7,0,2,3,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,D,1,No Deposit,1.0,0,Transient-Party,84.0,0,1,Check-Out,2017-08-09,43203,2017-August-7,2017-08-07,2,31-60 Hari,Medium Price,2,168.0
"Treasure Beach, Barbados Barbados",0,8,2018,December,51,12,1,0,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,96.0,0,2,Check-Out,2018-12-13,43204,2018-December-12,2018-12-12,1,0-30 Hari,High Price,1,96.0
"Protea Hotel by Marriott Midrand Midrand, South Africa",0,12,2019,January,2,12,2,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,85.77,0,0,Check-Out,2019-01-17,43205,2019-January-12,2019-01-12,5,0-30 Hari,Medium Price,5,428.84999999999997
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,119,2019,June,23,8,2,8,2,0.0,0,HB,BEL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,479.0,0,Transient,97.4,0,0,Check-Out,2019-06-18,43206,2019-June-8,2019-06-08,10,91-180 Hari,High Price,10,974.0
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",0,13,2018,November,46,8,0,2,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient,161.0,0,0,Check-Out,2018-11-10,43207,2018-November-8,2018-11-08,2,0-30 Hari,Premium Price,2,322.0
"Louisville East Courtyard Louisville, KY",0,37,2018,March,11,7,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,83.9,0,1,Check-Out,2018-03-11,43208,2018-March-7,2018-03-07,4,31-60 Hari,Medium Price,4,335.6
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",0,38,2017,August,35,27,2,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,0,Transient,145.0,0,1,Check-Out,2017-09-03,43209,2017-August-27,2017-08-27,7,31-60 Hari,Premium Price,7,1015.0
"The St. Regis Osaka Osaka, Japan",0,54,2017,August,35,24,2,5,2,1.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,196.0,0,Transient,197.7,0,0,Check-Out,2017-08-31,43210,2017-August-24,2017-08-24,7,31-60 Hari,Premium Price,7,1383.8999999999999
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",0,1,2018,July,29,16,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,0.0,0,Transient,145.0,1,0,Check-Out,2018-07-17,43211,2018-July-16,2018-07-16,1,0-30 Hari,Premium Price,1,145.0
"Waves, Barbados Barbados",1,187,2019,March,11,16,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,104.0,0,0,Canceled,2018-09-10,43212,2019-March-16,2019-03-16,4,181-360 Hari,High Price,4,416.0
"The Ritz-Carlton, Berlin Berlin, Germany",0,26,2019,January,1,6,2,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,0,Transient,65.84,0,2,Check-Out,2019-01-10,43213,2019-January-6,2019-01-06,4,0-30 Hari,Low Price,4,263.36
"Baltimore BWI Airport Courtyard Linthicum, MD",0,97,2019,May,21,22,1,1,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,101.25,0,0,Check-Out,2019-05-24,43214,2019-May-22,2019-05-22,2,91-180 Hari,High Price,2,202.5
"Albuquerque Airport Courtyard Albuquerque, NM",1,86,2019,April,15,13,2,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0,Transient,93.94,0,0,Canceled,2019-04-11,43215,2019-April-13,2019-04-13,5,61-90 Hari,Medium Price,5,469.7
"Waves, Barbados Barbados",1,176,2019,August,31,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,0,Transient,134.86,0,0,Canceled,2019-02-20,43216,2019-August-1,2019-08-01,7,91-180 Hari,Premium Price,7,944.0200000000001
"Des Moines West/Clive Courtyard Clive, IA",0,3,2018,October,44,28,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,130.0,0,2,Check-Out,2018-11-01,43218,2018-October-28,2018-10-28,4,0-30 Hari,Premium Price,4,520.0
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",0,377,2018,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,115.0,0,1,Check-Out,2018-10-16,43219,2018-October-14,2018-10-14,2,>360 Hari,High Price,2,230.0
"Newark Liberty International Airport Courtyard Newark, NJ",1,123,2019,January,3,19,2,5,2,2.0,0,BB,POL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,82.0,0,0,Canceled,2018-09-18,43220,2019-January-19,2019-01-19,7,91-180 Hari,Medium Price,7,574.0
"St. Louis Downtown West Courtyard St. Louis, MO",0,14,2017,October,42,15,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,99.0,0,Transient-Party,100.0,0,0,Check-Out,2017-10-16,43221,2017-October-15,2017-10-15,1,0-30 Hari,High Price,1,100.0
"Chicago O'Hare Courtyard Des Plaines, IL",0,25,2018,May,20,10,0,3,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,129.0,0,0,Check-Out,2018-05-13,43222,2018-May-10,2018-05-10,3,0-30 Hari,Premium Price,3,387.0
"Leipzig Marriott Hotel Leipzig, Germany",1,181,2019,May,19,8,1,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,116.33,0,0,Canceled,2018-11-08,43223,2019-May-8,2019-05-08,4,181-360 Hari,High Price,4,465.32
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",0,314,2019,August,31,1,0,4,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,139.5,0,2,Check-Out,2019-08-05,43224,2019-August-1,2019-08-01,4,181-360 Hari,Premium Price,4,558.0
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,142,2017,July,29,16,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,0,Contract,88.4,0,1,Check-Out,2017-07-30,43225,2017-July-16,2017-07-16,14,91-180 Hari,Medium Price,14,1237.6000000000001
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,83,2018,March,11,12,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0.0,0,Transient,82.45,0,0,Check-Out,2018-03-18,43226,2018-March-12,2018-03-12,6,61-90 Hari,Medium Price,6,494.70000000000005
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,39,2018,December,52,18,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,0,Transient,74.88,0,1,Check-Out,2018-12-19,43227,2018-December-18,2018-12-18,1,31-60 Hari,Medium Price,1,74.88
"Baltimore BWI Airport Courtyard Linthicum, MD",0,164,2019,July,27,4,2,8,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,140.0,1,0,Check-Out,2019-07-14,43228,2019-July-4,2019-07-04,10,91-180 Hari,Premium Price,10,1400.0
"Fort Worth University Drive Courtyard Fort Worth, TX",0,10,2019,February,6,6,1,1,3,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,C,0,No Deposit,0.0,0,Transient-Party,120.0,0,0,Check-Out,2019-02-08,43229,2019-February-6,2019-02-06,2,0-30 Hari,High Price,2,240.0
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",1,9,2018,January,5,27,0,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,72.8,0,0,Canceled,2018-01-20,43230,2018-January-27,2018-01-27,2,0-30 Hari,Medium Price,2,145.6
"W London – Leicester Square London, United Kingdom",0,30,2018,May,21,21,1,1,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,116.1,0,3,Check-Out,2018-05-23,43231,2018-May-21,2018-05-21,2,0-30 Hari,High Price,2,232.2
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,418,2018,September,40,26,1,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,132.0,223,Transient-Party,107.0,0,0,Check-Out,2018-09-29,43232,2018-September-26,2018-09-26,3,>360 Hari,High Price,3,321.0
"Chicago O'Hare Courtyard Des Plaines, IL",1,106,2018,June,25,17,1,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,159.3,0,0,Canceled,2018-03-20,43233,2018-June-17,2018-06-17,3,91-180 Hari,Premium Price,3,477.90000000000003
"W Barcelona Barcelona, Spain",1,312,2019,March,10,5,2,5,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,1,No Deposit,298.0,0,Transient-Party,45.0,0,0,Canceled,2019-01-11,43234,2019-March-5,2019-03-05,7,181-360 Hari,Low Price,7,315.0
"W New York – Times Square New York, NY",1,0,2017,November,48,28,0,1,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,D,D,0,No Deposit,0.0,0,Transient,65.0,0,0,Canceled,2017-11-28,43235,2017-November-28,2017-11-28,1,,Low Price,1,65.0
"Greensboro Courtyard Greensboro, NC",1,327,2017,September,37,9,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,21.0,0,Transient-Party,117.0,0,0,Canceled,2017-09-03,43236,2017-September-9,2017-09-09,6,181-360 Hari,High Price,6,702.0
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,65,2018,August,34,20,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,152.1,0,0,Canceled,2018-07-15,43237,2018-August-20,2018-08-20,2,61-90 Hari,Premium Price,2,304.2
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",1,405,2018,August,33,10,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,65.0,0,0,Canceled,2017-12-09,43238,2018-August-10,2018-08-10,2,>360 Hari,Low Price,2,130.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",0,2,2018,August,34,17,0,1,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,100.1,0,2,Check-Out,2018-08-18,43239,2018-August-17,2018-08-17,1,0-30 Hari,High Price,1,100.1
"Fort Worth University Drive Courtyard Fort Worth, TX",0,0,2019,July,28,15,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,160.0,0,2,Check-Out,2019-07-16,43240,2019-July-15,2019-07-15,1,,Premium Price,1,160.0
"St. Louis Downtown West Courtyard St. Louis, MO",0,51,2017,November,46,11,0,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,0,Transient,60.0,0,1,Check-Out,2017-11-15,43241,2017-November-11,2017-11-11,4,31-60 Hari,Low Price,4,240.0
"Newark Liberty International Airport Courtyard Newark, NJ",0,0,2019,February,6,6,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,0.0,0,Transient,47.0,1,0,Check-Out,2019-02-08,43242,2019-February-6,2019-02-06,2,,Low Price,2,94.0
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",0,0,2017,September,39,22,0,1,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,F,0,No Deposit,0.0,0,Transient,152.0,0,0,Check-Out,2017-09-23,43243,2017-September-22,2017-09-22,1,,Premium Price,1,152.0
"Newark Liberty International Airport Courtyard Newark, NJ",1,111,2019,March,12,24,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,106.2,0,0,Canceled,2019-01-08,43244,2019-March-24,2019-03-24,2,91-180 Hari,High Price,2,212.4
"Fort Worth University Drive Courtyard Fort Worth, TX",1,18,2019,March,12,20,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,100.3,0,0,Canceled,2019-03-08,43245,2019-March-20,2019-03-20,4,0-30 Hari,High Price,4,401.2
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",0,0,2018,January,3,12,0,4,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,0.0,0,Transient,34.2,0,0,Check-Out,2018-01-16,43246,2018-January-12,2018-01-12,4,,Low Price,4,136.8
"Courtyard by Marriott Paris Gare de Lyon Paris, France",0,11,2018,May,22,22,2,0,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,159.0,0,3,Check-Out,2018-05-24,43247,2018-May-22,2018-05-22,2,0-30 Hari,Premium Price,2,318.0
"Crystal Cove, Barbados Barbados",1,129,2019,January,2,8,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,Non Refund,0.0,0,Transient,67.0,0,0,Canceled,2018-10-21,43248,2019-January-8,2019-01-08,3,91-180 Hari,Low Price,3,201.0
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,146,2019,March,11,13,1,0,2,0.0,0,BB,CHN,Groups,TA/TO,0,0,0,E,E,0,No Deposit,66.0,34,Transient-Party,50.0,0,0,Check-Out,2019-03-14,43249,2019-March-13,2019-03-13,1,91-180 Hari,Low Price,1,50.0
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,57,2017,July,29,15,0,2,1,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,F,1,No Deposit,305.0,0,Transient-Party,94.0,0,0,Check-Out,2017-07-17,43250,2017-July-15,2017-07-15,2,31-60 Hari,Medium Price,2,188.0
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,151,2018,August,32,6,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,E,0,No Deposit,241.0,0,Transient,159.27,0,2,Check-Out,2018-08-11,43251,2018-August-6,2018-08-06,5,91-180 Hari,Premium Price,5,796.35
"Berlin Marriott Hotel Berlin, Germany",1,68,2017,September,40,29,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,0,Transient-Party,48.0,0,0,Canceled,2017-09-11,43252,2017-September-29,2017-09-29,2,61-90 Hari,Low Price,2,96.0
"Des Moines West/Clive Courtyard Clive, IA",0,24,2019,March,10,10,2,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,240.0,0,Transient,77.0,0,2,Check-Out,2019-03-16,43253,2019-March-10,2019-03-10,6,0-30 Hari,Medium Price,6,462.0
"St. Louis Downtown West Courtyard St. Louis, MO",0,0,2019,April,17,29,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,0.0,0,Transient,155.25,1,0,Check-Out,2019-05-03,43254,2019-April-29,2019-04-29,4,,Premium Price,4,621.0
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,61,2017,November,46,11,0,4,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,3,No Deposit,281.0,0,Contract,48.0,0,0,Check-Out,2017-11-15,43255,2017-November-11,2017-11-11,4,61-90 Hari,Low Price,4,192.0
"Courtyard by Marriott Paris Gare de Lyon Paris, France",1,251,2018,March,13,22,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,93,Transient,90.0,0,0,Canceled,2017-10-16,43256,2018-March-22,2018-03-22,3,181-360 Hari,Medium Price,3,270.0
"Des Moines West/Clive Courtyard Clive, IA",0,27,2019,April,17,29,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,0,Transient,147.0,0,1,Check-Out,2019-05-01,43257,2019-April-29,2019-04-29,2,0-30 Hari,Premium Price,2,294.0
"Courtyard by Marriott Toulouse Airport Toulouse, France",1,83,2019,May,18,3,0,4,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,147.0,0,0,Canceled,2019-02-09,43258,2019-May-3,2019-05-03,4,61-90 Hari,Premium Price,4,588.0
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",1,229,2019,July,28,12,1,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0.0,0,Transient,110.0,0,0,Canceled,2018-11-25,43259,2019-July-12,2019-07-12,5,181-360 Hari,High Price,5,550.0
"Renaissance New York Times Square Hotel New York, NY",0,118,2019,May,20,16,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,42.95,0,1,Check-Out,2019-05-23,43260,2019-May-16,2019-05-16,7,91-180 Hari,Low Price,7,300.65000000000003
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,153,2017,August,32,3,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient,60.0,0,0,Canceled,2017-05-19,43261,2017-August-3,2017-08-03,3,91-180 Hari,Low Price,3,180.0
"Leipzig Marriott Hotel Leipzig, Germany",0,60,2019,June,23,8,2,5,2,0.0,0,HB,FRA,Direct,Direct,0,0,0,E,E,1,No Deposit,14.0,0,Transient,231.0,0,0,Check-Out,2019-06-15,43262,2019-June-8,2019-06-08,7,31-60 Hari,Premium Price,7,1617.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,9,2019,May,20,15,1,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,8.0,0,Transient,187.5,0,1,Check-Out,2019-05-18,43263,2019-May-15,2019-05-15,3,0-30 Hari,Premium Price,3,562.5
"Colony Club, Barbados Barbados",1,398,2018,August,33,11,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,62.0,0,0,Canceled,2017-10-21,43264,2018-August-11,2018-08-11,2,>360 Hari,Low Price,2,124.0
"Mt. Laurel Courtyard Mt. Laurel, NJ",0,79,2019,January,4,26,0,1,1,0.0,0,BB,BEL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0.0,0,Transient-Party,85.0,0,0,Check-Out,2019-01-27,43265,2019-January-26,2019-01-26,1,61-90 Hari,Medium Price,1,85.0
"Courtyard by Marriott Toulouse Airport Toulouse, France",1,226,2019,February,7,14,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,90.0,0,2,Canceled,2019-01-26,43266,2019-February-14,2019-02-14,1,181-360 Hari,Medium Price,1,90.0
"Heidelberg Marriott Hotel Heidelberg, Germany",0,43,2019,August,32,7,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,270.0,0,2,Check-Out,2019-08-14,43267,2019-August-7,2019-08-07,7,31-60 Hari,Premium Price,7,1890.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",0,5,2019,May,20,14,2,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,117.75,1,1,Check-Out,2019-05-18,43268,2019-May-14,2019-05-14,4,0-30 Hari,High Price,4,471.0
"The St. Regis Osaka Osaka, Japan",0,0,2018,October,42,9,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0.0,0,Transient,77.0,0,0,Check-Out,2018-10-10,43269,2018-October-9,2018-10-09,1,,Medium Price,1,77.0
"Protea Hotel by Marriott Midrand Midrand, South Africa",1,68,2018,April,14,1,2,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,116.45,0,2,Canceled,2018-03-30,43270,2018-April-1,2018-04-01,4,61-90 Hari,High Price,4,465.8
"Protea Hotel by Marriott Midrand Midrand, South Africa",0,90,2017,September,39,23,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,2.0,0,Contract,54.0,0,0,Check-Out,2017-10-07,43271,2017-September-23,2017-09-23,14,61-90 Hari,Low Price,14,756.0
"Sheraton Diana Majestic, Milan Milan, Italy",1,267,2017,September,39,26,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,96.0,0,Transient,54.99,0,0,Canceled,2017-06-17,43272,2017-September-26,2017-09-26,7,181-360 Hari,Low Price,7,384.93
"The House, Barbados Barbados",0,42,2018,April,14,2,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,117.9,0,0,Check-Out,2018-04-03,43273,2018-April-2,2018-04-02,1,31-60 Hari,High Price,1,117.9
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,9,2018,January,5,29,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,48.0,0,1,Check-Out,2018-01-30,43274,2018-January-29,2018-01-29,1,0-30 Hari,Low Price,1,48.0
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,294,2017,August,32,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2017-07-02,43275,2017-August-7,2017-08-07,2,181-360 Hari,Low Price,2,124.0
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,0,2018,July,30,21,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,0.0,0,Transient,139.0,0,0,Check-Out,2018-07-22,43276,2018-July-21,2018-07-21,1,,Premium Price,1,139.0
"Berlin Marriott Hotel Berlin, Germany",0,59,2018,September,40,30,0,2,2,0.0,0,HB,COL,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,0,Transient,150.0,0,1,Check-Out,2018-10-02,43277,2018-September-30,2018-09-30,2,31-60 Hari,Premium Price,2,300.0
"Anaheim Marriott Anaheim, CA",0,94,2019,February,7,13,1,3,1,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,152.0,0,Transient-Party,44.0,0,0,Check-Out,2019-02-17,43278,2019-February-13,2019-02-13,4,91-180 Hari,Low Price,4,176.0
"W London – Leicester Square London, United Kingdom",1,150,2019,April,17,23,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.0,0,0,Canceled,2019-03-26,43279,2019-April-23,2019-04-23,3,91-180 Hari,High Price,3,351.0
"Mt. Laurel Courtyard Mt. Laurel, NJ",1,17,2018,January,4,23,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,78.3,0,0,Canceled,2018-01-20,43280,2018-January-23,2018-01-23,1,0-30 Hari,Medium Price,1,78.3
"W Barcelona Barcelona, Spain",0,377,2018,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,115.0,0,1,Check-Out,2018-10-16,43281,2018-October-14,2018-10-14,2,>360 Hari,High Price,2,230.0
"W Barcelona Barcelona, Spain",0,25,2017,November,48,22,2,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,0,Transient-Party,65.0,0,0,Check-Out,2017-11-27,43282,2017-November-22,2017-11-22,5,0-30 Hari,Low Price,5,325.0
"The St. Regis Osaka Osaka, Japan",1,28,2019,March,11,14,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,65.0,0,0,Canceled,2019-03-07,43283,2019-March-14,2019-03-14,3,0-30 Hari,Low Price,3,195.0
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",0,5,2017,August,32,5,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,0.0,0,Transient,20.0,1,0,Check-Out,2017-08-07,43284,2017-August-5,2017-08-05,2,0-30 Hari,Low Price,2,40.0
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,88,2019,May,19,11,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,147.0,0,0,Check-Out,2019-05-14,43285,2019-May-11,2019-05-11,3,61-90 Hari,Premium Price,3,441.0
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,0,2018,January,5,25,1,1,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,40.0,0,0,Check-Out,2018-01-27,43286,2018-January-25,2018-01-25,2,,Low Price,2,80.0
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,9,2018,April,15,8,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,89.0,0,0,Canceled,2018-03-31,43287,2018-April-8,2018-04-08,1,0-30 Hari,Medium Price,1,89.0
